u,v,kind,ox,oy,x_rel,y_rel
3,5,proper,10.0,1.0,overlap,contains
3,11,proper,4.0,8.0,overlap,contains
3,14,proper,1.0,7.0,overlap,overlap
5,19,proper,3.0,1.0,contains,inside
5,23,proper,3.0,1.0,contains,inside
7,16,proper,10.0,5.0,contains,inside
7,22,proper,11.0,5.0,contains,inside
7,24,proper,2.0,3.0,overlap,overlap
11,19,proper,3.0,8.0,contains,inside
11,21,proper,2.0,2.0,overlap,overlap
11,22,proper,1.0,4.0,overlap,overlap
14,15,proper,4.0,1.0,overlap,contains
14,16,proper,3.0,5.0,overlap,overlap
15,19,proper,3.0,1.0,contains,inside
15,22,proper,11.0,1.0,contains,inside
15,24,proper,4.0,1.0,overlap,inside
16,19,proper,3.0,1.0,contains,overlap
21,23,proper,3.0,3.0,contains,inside
21,24,proper,3.0,3.0,overlap,inside
22,23,proper,3.0,2.0,contains,overlap
